# Matter power spectrum P(k) at redshift z=0
# for k=1.02701e-05 to 1.02274 h/Mpc,
# number of wavenumbers equal to 643
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.775242751425e-01       9.574035647480e+02 
       2.802709338006e-01       9.410147553919e+02 
       2.830175931552e-01       9.241747866590e+02 
       2.857642531861e-01       9.069135268122e+02 
       2.885109138739e-01       8.893195806869e+02 
       2.912575752000e-01       8.715391418057e+02 
       2.940042371463e-01       8.537547429395e+02 
       2.967508996956e-01       8.361740361152e+02 
       2.994975628312e-01       8.190080235641e+02 
       3.022442265370e-01       8.024489730462e+02 
       3.049908907976e-01       7.866478303706e+02 
       3.077375555981e-01       7.716993193076e+02 
       3.104842209240e-01       7.576349312534e+02 
       3.132308867615e-01       7.444290499485e+02 
       3.159775530972e-01       7.320114312766e+02 
       3.187242199181e-01       7.202747289412e+02 
       3.214708872118e-01       7.091018311009e+02 
       3.242175549662e-01       6.983690144588e+02 
       3.269642231696e-01       6.879476643738e+02 
       3.297108918108e-01       6.777190683397e+02 
       3.324575608788e-01       6.675740052000e+02 
       3.352042303631e-01       6.574289155666e+02 
       3.379509002536e-01       6.472332040612e+02 
       3.406975705404e-01       6.369678005684e+02 
       3.434442412139e-01       6.266591617320e+02 
       3.461909122649e-01       6.163339982199e+02 
       3.489375836844e-01       6.060560485850e+02 
       3.516842554638e-01       5.958870095051e+02 
       3.544309275947e-01       5.858835628171e+02 
       3.571776000689e-01       5.761047232475e+02 
       3.599242728786e-01       5.665876400773e+02 
       3.626709460160e-01       5.573762442345e+02 
       3.654176194739e-01       5.485027862753e+02 
       3.681642932449e-01       5.399824160547e+02 
       3.709109673221e-01       5.318138309433e+02 
       3.736576416987e-01       5.239728680276e+02 
       3.764043163682e-01       5.164299882843e+02 
       3.791509913241e-01       5.091351201389e+02 
       3.818976665602e-01       5.020484097653e+02 
       3.846443420706e-01       4.951226164348e+02 
       3.873910178494e-01       4.883214998274e+02 
       3.901376938908e-01       4.816128271518e+02 
       3.928843701894e-01       4.749730212875e+02 
       3.956310467398e-01       4.683769053873e+02 
       3.983777235367e-01       4.618138162829e+02 
       4.011244005751e-01       4.552785561389e+02 
       4.038710778500e-01       4.487796352044e+02 
       4.066177553566e-01       4.423361896328e+02 
       4.093644330903e-01       4.359705151655e+02 
       4.121111110465e-01       4.297111034807e+02 
       4.148577892207e-01       4.235761432653e+02 
       4.176044676087e-01       4.175850156213e+02 
       4.203511462062e-01       4.117479111683e+02 
       4.230978250091e-01       4.060706444683e+02 
       4.258445040135e-01       4.005556298400e+02 
       4.285911832154e-01       3.952020254943e+02 
       4.313378626111e-01       3.899981450550e+02 
       4.340845421969e-01       3.849386530038e+02 
       4.368312219692e-01       3.800094922943e+02 
       4.395779019245e-01       3.751897614903e+02 
       4.423245820594e-01       3.704610846792e+02 
       4.450712623705e-01       3.658025416039e+02 
       4.478179428545e-01       3.612026019288e+02 
       4.505646235084e-01       3.566573234558e+02 
       4.533113043289e-01       3.521668082880e+02 
       4.560579853132e-01       3.477237155851e+02 
       4.588046664582e-01       3.433345597836e+02 
       4.615513477611e-01       3.389984904763e+02 
