# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  113       4.881257376294e-10       1.560042111099e-13      -5.647328144725e-12       5.004758120915e-16       7.047915142771e-12       1.076427614880e-12      -7.026993713883e-15 
  114       4.934102336420e-10       1.569194953431e-13      -5.723325606079e-12       5.095922204867e-16       6.882524305989e-12       1.056614675355e-12      -6.912924876353e-15 
  115       4.986942326040e-10       1.577481666659e-13      -5.796717783066e-12       5.188101748802e-16       6.721876651725e-12       1.037311652006e-12      -6.801329906451e-15 
  116       5.039754264629e-10       1.584889607609e-13      -5.867400622839e-12       5.281307861138e-16       6.565561556217e-12       1.018488205683e-12      -6.693161279678e-15 
  117       5.092522449271e-10       1.591409190834e-13      -5.935275605162e-12       5.375548999990e-16       6.413517533835e-12       1.000139226606e-12      -6.588463867565e-15 
  118       5.145232395872e-10       1.597032492782e-13      -6.000246540782e-12       5.470832965174e-16       6.265756018013e-12       9.822638898733e-13      -6.487022288996e-15 
  119       5.197868668897e-10       1.601752785390e-13      -6.062218500874e-12       5.567167593171e-16       6.122264330368e-12       9.648582732298e-13      -6.388586593777e-15 
  120       5.250414854477e-10       1.605564569127e-13      -6.121097891693e-12       5.664560755077e-16       5.983004942515e-12       9.479152629570e-13      -6.292871349041e-15 
  121       5.302853533516e-10       1.608463606042e-13      -6.176792529220e-12       5.763020354548e-16       5.847914737905e-12       9.314244597684e-13      -6.199554725652e-15 
  122       5.355166254797e-10       1.610446952808e-13      -6.229211713817e-12       5.862554325751e-16       5.716904273639e-12       9.153720847034e-13      -6.108277584609e-15 
  123       5.407333508091e-10       1.611512993767e-13      -6.278266304872e-12       5.963170631316e-16       5.589857042302e-12       8.997408850204e-13      -6.018642563451e-15 
  124       5.459334697258e-10       1.611661473979e-13      -6.323868795450e-12       6.064877260281e-16       5.466628733785e-12       8.845100400913e-13      -5.930213162661e-15 
  125       5.511148113362e-10       1.610893532262e-13      -6.365933386945e-12       6.167682226040e-16       5.347046497109e-12       8.696550672944e-13      -5.842512832071e-15 
  126       5.562750907770e-10       1.609211734244e-13      -6.404376063726e-12       6.271593564298e-16       5.230908202257e-12       8.551477279091e-13      -5.755024057266e-15 
  127       5.614119065264e-10       1.606620105402e-13      -6.439114667790e-12       6.376619331014e-16       5.117981701992e-12       8.409559330086e-13      -5.667187445990e-15 
  128       5.665227377144e-10       1.603124164114e-13      -6.470068973408e-12       6.482767600354e-16       5.008004093687e-12       8.270436493544e-13      -5.578400814549e-15 
  129       5.716051348853e-10       1.598731000237e-13      -6.497161385827e-12       6.590046016539e-16       4.900738081856e-12       8.133792640571e-13      -5.488160246059e-15 
  130       5.766573216575e-10       1.593449450420e-13      -6.520318965460e-12       6.698460398176e-16       4.796149624351e-12       7.999619159205e-13      -5.396502701299e-15 
  131       5.816776542911e-10       1.587290004564e-13      -6.539471767854e-12       6.808015976231e-16       4.694248469892e-12       7.867978882832e-13      -5.303610462329e-15 
  132       5.866644328610e-10       1.580264795051e-13      -6.554552317889e-12       6.918717821215e-16       4.595032477910e-12       7.738923759342e-13      -5.209673614378e-15 
  133       5.916158999518e-10       1.572387630114e-13      -6.565495688889e-12       7.030570837937e-16       4.498487288972e-12       7.612494515343e-13      -5.114890148152e-15 
  134       5.965302393523e-10       1.563674027212e-13      -6.572239581738e-12       7.143579760263e-16       4.404585995191e-12       7.488720320378e-13      -5.019466062134e-15 
  135       6.014055747510e-10       1.554141246396e-13      -6.574724403998e-12       7.257749145874e-16       4.313288810649e-12       7.367618451140e-13      -4.923615464887e-15 
  136       6.062399684306e-10       1.543808323686e-13      -6.572893349020e-12       7.373083371018e-16       4.224542741810e-12       7.249193955687e-13      -4.827560677361e-15 
  137       6.110314199633e-10       1.532696104439e-13      -6.566692475062e-12       7.489586625273e-16       4.138281257941e-12       7.133439317663e-13      -4.731532335193e-15 
